Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","138","Mexico","5419","Yield","497","Lemons and limes","2018","2018","hg/ha","144907","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","497","Lemons and limes","2018","2018","tonnes","2547834","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","201","Lentils","2018","2018","ha","8080","","Official data"
"QC","Crops","138","Mexico","5419","Yield","201","Lentils","2018","2018","hg/ha","11091","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","201","Lentils","2018","2018","tonnes","8961","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","372","Lettuce and chicory","2018","2018","ha","20527","","Official data"
"QC","Crops","138","Mexico","5419","Yield","372","Lettuce and chicory","2018","2018","hg/ha","236981","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","372","Lettuce and chicory","2018","2018","tonnes","486440","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","333","Linseed","2018","2018","ha","3000","*","Unofficial figure"
"QC","Crops","138","Mexico","5419","Yield","333","Linseed","2018","2018","hg/ha","6667","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","333","Linseed","2018","2018","tonnes","2000","*","Unofficial figure"
"QC","Crops","138","Mexico","5312","Area harvested","56","Maize","2018","2018","ha","7122710","","Official data"
"QC","Crops","138","Mexico","5419","Yield","56","Maize","2018","2018","hg/ha","38146","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","56","Maize","2018","2018","tonnes","27169977","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","446","Maize, green","2018","2018","ha","67625","","Official data"
"QC","Crops","138","Mexico","5419","Yield","446","Maize, green","2018","2018","hg/ha","156596","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","446","Maize, green","2018","2018","tonnes","1058980","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","571","Mangoes, mangosteens, guavas","2018","2018","ha","210685","","Official data"
"QC","Crops","138","Mexico","5419","Yield","571","Mangoes, mangosteens, guavas","2018","2018","hg/ha","103421","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","571","Mangoes, mangosteens, guavas","2018","2018","tonnes","2178927","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","568","Melons, other (inc.cantaloupes)","2018","2018","ha","18959","","Official data"
"QC","Crops","138","Mexico","5419","Yield","568","Melons, other (inc.cantaloupes)","2018","2018","hg/ha","313631","Fc","Calculated data"
"QC","Crops","138","Mexico","5510","Production","568","Melons, other (inc.cantaloupes)","2018","2018","tonnes","594608","","Official data"
"QC","Crops","138","Mexico","5312","Area harvested","299","Melonseed","2018","2018","ha","23","Im","FAO data based on imputation methodology"
"QC","Crops","138","Mexico","5419","Yield","299","Melonseed","2018","2018","hg/ha","4566","Fc","Calculated data"
